ticker,exchange,assetType,priceCurrency,startDate,endDate
000423,SHE,Stock,CNY,2000-01-03,2018-06-06
000425,SHE,Stock,CNY,2000-01-03,2018-06-06
000426,SHE,Stock,CNY,2000-01-03,2018-06-06
000428,SHE,Stock,CNY,2000-01-03,2018-06-06
000429,SHE,Stock,CNY,2000-01-03,2018-06-06
000430,SHE,Stock,CNY,2018-01-02,2018-06-06
000488,SHE,Stock,CNY,2000-11-20,2018-06-06
000498,SHE,Stock,CNY,2018-01-02,2018-06-06
000501,SHE,Stock,CNY,2000-01-03,2018-06-06
000502,SHE,Stock,CNY,2007-08-30,2018-05-31
000503,SHE,Stock,CNY,2018-01-02,2018-06-06
000504,SHE,Stock,CNY,2007-08-30,2018-06-06
000505,SHE,Stock,CNY,2007-08-30,2018-06-06
000506,SHE,Stock,CNY,2018-01-02,2018-02-27
000507,SHE,Stock,CNY,2018-01-02,2018-06-06
000509,SHE,Stock,CNY,2017-07-17,2018-05-29
000510,SHE,Stock,CNY,2000-01-04,2018-06-06
000511,SHE,Stock,CNY,2017-04-28,2018-06-06
000513,SHE,Stock,CNY,2000-01-03,2018-06-06
000514,SHE,Stock,CNY,2018-01-02,2018-06-06
000515,SHE,Stock,CNY,2007-01-04,2009-04-23
000516,SHE,Stock,CNY,2000-02-02,2018-06-06
000517,SHE,Stock,CNY,2000-01-03,2018-06-06
000518,SHE,Stock,CNY,2007-08-30,2018-06-06
000519,SHE,Stock,CNY,2018-01-02,2018-06-06
000520,SHE,Stock,CNY,2000-01-03,2018-06-06
000521,SHE,Stock,CNY,2018-01-02,2018-06-06
000522,SHE,Stock,CNY,2007-01-04,2013-03-13
000523,SHE,Stock,CNY,2018-01-02,2018-04-12
000524,SHE,Stock,CNY,2018-01-02,2018-06-06
000525,SHE,Stock,CNY,2018-01-02,2018-06-06
000526,SHE,Stock,CNY,2007-08-30,2018-03-21
000527,SHE,Stock,CNY,2007-01-04,2013-08-14
000528,SHE,Stock,CNY,2000-01-03,2018-06-06
000529,SHE,Stock,CNY,2018-01-02,2018-06-06
000530,SHE,Stock,CNY,2000-01-03,2018-06-06
000531,SHE,Stock,CNY,2018-01-02,2018-06-06
000532,SHE,Stock,CNY,2000-01-03,2018-06-06
000533,SHE,Stock,CNY,2007-08-30,2018-06-06
000534,SHE,Stock,CNY,2000-01-03,2018-06-06
000536,SHE,Stock,CNY,2000-01-03,2018-06-06
000537,SHE,Stock,CNY,2000-01-13,2018-06-06
000538,SHE,Stock,CNY,2018-01-02,2018-06-06
000539,SHE,Stock,CNY,2000-01-03,2018-06-06
000540,SHE,Stock,CNY,2017-08-18,2017-08-18
000541,SHE,Stock,CNY,2000-01-03,2018-06-06
000543,SHE,Stock,CNY,2018-01-02,2018-06-06
000544,SHE,Stock,CNY,2018-01-02,2018-06-06
000545,SHE,Stock,CNY,2018-01-02,2018-06-06
000546,SHE,Stock,CNY,2018-01-02,2018-06-06
000547,SHE,Stock,CNY,2007-08-30,2018-06-06
000548,SHE,Stock,CNY,2018-01-02,2018-06-06
000550,SHE,Stock,CNY,2018-01-02,2018-06-06
000551,SHE,Stock,CNY,2018-01-02,2018-06-06
000552,SHE,Stock,CNY,2018-01-02,2018-06-06
000553,SHE,Stock,CNY,2018-01-02,2018-06-06
000554,SHE,Stock,CNY,2018-01-02,2018-06-06
000555,SHE,Stock,CNY,2018-01-02,2018-06-06
000557,SHE,Stock,CNY,2007-08-30,2018-06-06
000558,SHE,Stock,CNY,2007-08-30,2018-06-06
000559,SHE,Stock,CNY,2018-01-02,2018-06-06
000560,SHE,Stock,CNY,2018-01-02,2018-06-06
000561,SHE,Stock,CNY,2000-01-03,2018-06-06
000562,SHE,Stock,CNY,2007-01-04,2014-12-09
000563,SHE,Stock,CNY,2018-01-02,2018-06-06
000564,SHE,Stock,CNY,2007-08-30,2018-04-24
000565,SHE,Stock,CNY,2018-01-02,2018-06-06
000566,SHE,Stock,CNY,2007-08-30,2018-04-24
000567,SHE,Stock,CNY,2007-08-30,2018-06-06
000568,SHE,Stock,CNY,2018-01-02,2018-06-06
000569,SHE,Stock,CNY,2007-01-04,2009-04-23
000570,SHE,Stock,CNY,2000-01-03,2018-06-06
000571,SHE,Stock,CNY,2018-01-02,2018-06-06
000572,SHE,Stock,CNY,2018-01-02,2018-06-06
000573,SHE,Stock,CNY,2018-01-02,2018-06-06
000576,SHE,Stock,CNY,2007-08-30,2018-06-06
000578,SHE,Stock,CNY,2007-07-16,2011-02-18
000581,SHE,Stock,CNY,2000-01-04,2018-06-06
000582,SHE,Stock,CNY,2018-01-02,2018-06-06
000584,SHE,Stock,CNY,2007-08-30,2018-03-28
000585,SHE,Stock,CNY,2007-08-30,2018-06-06
000586,SHE,Stock,CNY,2000-01-04,2018-06-06
000587,SHE,Stock,CNY,2000-01-03,2018-06-05
000589,SHE,Stock,CNY,2018-01-02,2018-06-06
000590,SHE,Stock,CNY,2018-01-02,2018-06-06
000591,SHE,Stock,CNY,2018-01-02,2018-06-06
000592,SHE,Stock,CNY,2015-01-05,2018-06-06
000593,SHE,Stock,CNY,2000-01-03,2018-03-19
000594,SHE,Stock,CNY,2007-01-04,2015-07-13
000595,SHE,Stock,CNY,2000-01-03,2018-06-06
000596,SHE,Stock,CNY,2000-01-03,2018-06-06
000597,SHE,Stock,CNY,2018-01-02,2018-06-06
000598,SHE,Stock,CNY,2018-01-02,2018-06-06
000599,SHE,Stock,CNY,2018-01-02,2018-06-06
000600,SHE,Stock,CNY,2018-01-02,2018-06-06
000601,SHE,Stock,CNY,2018-01-02,2018-06-06
000602,SHE,Stock,CNY,,
000603,SHE,Stock,CNY,2018-01-02,2018-06-06
000605,SHE,Stock,CNY,2000-01-03,2018-06-06
000606,SHE,Stock,CNY,2007-08-30,2018-06-06
000607,SHE,Stock,CNY,2000-01-03,2018-06-06
000608,SHE,Stock,CNY,2018-01-02,2018-06-06
000609,SHE,Stock,CNY,2000-01-05,2018-06-06
000610,SHE,Stock,CNY,2018-01-02,2018-06-06
000611,SHE,Stock,CNY,2018-01-02,2018-05-30
000612,SHE,Stock,CNY,2018-01-02,2018-06-06
000613,SHE,Stock,CNY,2007-08-30,2018-06-06
000615,SHE,Stock,CNY,2018-01-02,2018-06-06
000616,SHE,Stock,CNY,2007-08-30,2018-01-23
000617,SHE,Stock,CNY,2018-01-02,2018-06-06
000619,SHE,Stock,CNY,2000-01-03,2018-06-06
000620,SHE,Stock,CNY,2000-01-04,2018-06-06
000622,SHE,Stock,CNY,2013-02-08,2018-06-06
000623,SHE,Stock,CNY,2000-01-03,2018-06-06
000625,SHE,Stock,CNY,2000-01-03,2018-06-06
000626,SHE,Stock,CNY,2018-01-02,2018-06-06
000627,SHE,Stock,CNY,2000-01-03,2018-06-06
000628,SHE,Stock,CNY,2007-08-30,2018-06-06
000629,SHE,Stock,CNY,2017-04-19,2018-04-24
000630,SHE,Stock,CNY,2000-01-03,2018-06-06
000631,SHE,Stock,CNY,2018-01-02,2018-06-06
000632,SHE,Stock,CNY,2000-01-04,2018-06-06
000633,SHE,Stock,CNY,2007-08-30,2018-06-06
000635,SHE,Stock,CNY,2018-01-02,2018-06-06
000636,SHE,Stock,CNY,2000-01-03,2018-06-06
000637,SHE,Stock,CNY,2000-01-03,2018-06-06
000638,SHE,Stock,CNY,2009-06-05,2018-06-06
000639,SHE,Stock,CNY,2018-01-02,2018-06-06
000650,SHE,Stock,CNY,2018-01-02,2018-06-06
000651,SHE,Stock,CNY,2018-01-02,2018-06-06
000652,SHE,Stock,CNY,2000-01-04,2018-06-06
000655,SHE,Stock,CNY,2000-01-04,2018-06-06
000656,SHE,Stock,CNY,2018-01-02,2018-06-06
000657,SHE,Stock,CNY,2007-08-30,2018-06-06
000659,SHE,Stock,CNY,2018-01-02,2018-06-06
000661,SHE,Stock,CNY,2000-01-03,2018-06-06
000662,SHE,Stock,CNY,2007-08-30,2018-06-06
000663,SHE,Stock,CNY,2000-01-03,2018-06-06
000665,SHE,Stock,CNY,2000-01-03,2018-06-06
000666,SHE,Stock,CNY,2018-01-02,2018-03-09
000667,SHE,Stock,CNY,2018-01-02,2018-06-06
000668,SHE,Stock,CNY,2018-01-02,2018-06-06
000669,SHE,Stock,CNY,2018-01-02,2018-05-17
000670,SHE,Stock,CNY,2018-01-02,2018-06-06
000671,SHE,Stock,CNY,2018-01-02,2018-06-06
000672,SHE,Stock,CNY,2000-01-03,2018-06-06
000673,SHE,Stock,CNY,2002-09-25,2018-05-22
000676,SHE,Stock,CNY,2007-08-30,2018-06-06
000677,SHE,Stock,CNY,2000-01-03,2018-06-06
000678,SHE,Stock,CNY,2000-01-03,2018-06-06
000679,SHE,Stock,CNY,2018-01-02,2018-06-06
000680,SHE,Stock,CNY,2018-01-02,2018-06-06
000681,SHE,Stock,CNY,2007-08-30,2018-06-06
000682,SHE,Stock,CNY,2018-01-02,2018-06-06
000683,SHE,Stock,CNY,2018-01-02,2018-06-06
000685,SHE,Stock,CNY,2018-01-02,2018-06-06
000686,SHE,Stock,CNY,2000-01-03,2018-06-06
000687,SHE,Stock,CNY,2018-01-02,2018-06-06
000688,SHE,Stock,CNY,2018-02-07,2018-06-06
000690,SHE,Stock,CNY,2000-01-03,2018-06-06
000691,SHE,Stock,CNY,2007-08-30,2018-06-06
000692,SHE,Stock,CNY,2018-01-02,2018-06-06
000693,SHE,Stock,CNY,2018-03-21,2018-04-27
000695,SHE,Stock,CNY,2018-01-16,2018-06-06
000697,SHE,Stock,CNY,2018-01-02,2018-06-06
000698,SHE,Stock,CNY,2018-01-02,2018-06-06
000700,SHE,Stock,CNY,2000-01-03,2018-06-06
000701,SHE,Stock,CNY,2000-01-03,2018-06-06
000702,SHE,Stock,CNY,2000-01-03,2018-06-06
000703,SHE,Stock,CNY,2018-01-02,2018-06-06
000705,SHE,Stock,CNY,2018-01-02,2018-06-06
000707,SHE,Stock,CNY,2018-01-02,2018-06-06
000708,SHE,Stock,CNY,2000-01-03,2018-06-06
000709,SHE,Stock,CNY,2000-01-03,2018-06-06
000710,SHE,Stock,CNY,2000-01-03,2018-06-06
000711,SHE,Stock,CNY,2018-01-02,2018-03-23
000712,SHE,Stock,CNY,2018-01-02,2018-06-06
000713,SHE,Stock,CNY,2018-01-02,2018-06-06
000715,SHE,Stock,CNY,2000-01-03,2018-06-06
000716,SHE,Stock,CNY,2018-01-02,2018-06-06
000717,SHE,Stock,CNY,2000-01-03,2018-06-06
000718,SHE,Stock,CNY,2018-01-02,2018-06-06
000719,SHE,Stock,CNY,2018-01-02,2018-06-06
000720,SHE,Stock,CNY,2007-08-30,2018-06-06
000721,SHE,Stock,CNY,2018-01-02,2018-06-06
000722,SHE,Stock,CNY,2018-01-02,2018-06-06
000723,SHE,Stock,CNY,2000-01-03,2018-03-26
000725,SHE,Stock,CNY,2001-01-11,2018-06-06
000726,SHE,Stock,CNY,2018-01-02,2018-06-06
000727,SHE,Stock,CNY,2018-01-02,2018-06-06
000728,SHE,Stock,CNY,2000-01-03,2018-06-06
000729,SHE,Stock,CNY,2000-01-03,2018-06-06
000731,SHE,Stock,CNY,2000-01-03,2018-06-06
000732,SHE,Stock,CNY,2018-01-02,2018-06-06
000733,SHE,Stock,CNY,2000-01-03,2018-06-06
000735,SHE,Stock,CNY,2018-01-02,2018-06-06
000736,SHE,Stock,CNY,2018-01-02,2018-06-06
000737,SHE,Stock,CNY,2007-08-30,2018-06-06
000738,SHE,Stock,CNY,2018-01-02,2018-06-06
000739,SHE,Stock,CNY,2000-01-03,2018-06-06
000748,SHE,Stock,CNY,2007-01-04,2016-10-31
000750,SHE,Stock,CNY,2018-01-02,2018-06-06
000751,SHE,Stock,CNY,2018-01-02,2018-06-06
000752,SHE,Stock,CNY,2000-01-03,2018-06-06
000753,SHE,Stock,CNY,2018-01-02,2018-06-06
000755,SHE,Stock,CNY,2018-01-02,2018-06-06
000756,SHE,Stock,CNY,2000-01-03,2018-06-06
000757,SHE,Stock,CNY,2013-02-08,2018-06-06
000758,SHE,Stock,CNY,2018-01-02,2018-06-06
000759,SHE,Stock,CNY,2018-01-02,2018-06-06
000760,SHE,Stock,CNY,2018-01-02,2018-06-06
000761,SHE,Stock,CNY,2000-01-03,2018-06-06
000762,SHE,Stock,CNY,2018-01-02,2018-06-06
000766,SHE,Stock,CNY,2018-04-24,2018-04-24
000767,SHE,Stock,CNY,2000-01-03,2018-06-06
000768,SHE,Stock,CNY,2018-01-02,2018-06-06
000776,SHE,Stock,CNY,2018-01-02,2018-06-06
000777,SHE,Stock,CNY,2018-01-02,2018-06-06
000778,SHE,Stock,CNY,2000-01-03,2018-06-06
000779,SHE,Stock,CNY,2007-08-30,2018-03-20
000780,SHE,Stock,CNY,2000-01-03,2018-06-06
000782,SHE,Stock,CNY,2018-01-02,2018-06-06
000783,SHE,Stock,CNY,2000-01-03,2018-06-06
000785,SHE,Stock,CNY,2018-01-02,2018-06-06
000786,SHE,Stock,CNY,2018-01-02,2018-06-06
000787,SHE,Stock,CNY,2007-01-08,2007-04-27
000788,SHE,Stock,CNY,2018-01-02,2018-06-06
000789,SHE,Stock,CNY,2018-01-02,2018-06-06
000790,SHE,Stock,CNY,2015-01-05,2018-06-06
000791,SHE,Stock,CNY,2018-01-02,2018-06-06
000792,SHE,Stock,CNY,2000-01-03,2018-06-06
000793,SHE,Stock,CNY,2007-08-30,2018-01-31
000795,SHE,Stock,CNY,2000-01-03,2018-06-06
000796,SHE,Stock,CNY,2007-08-30,2018-01-18
000797,SHE,Stock,CNY,2018-01-02,2018-06-06
000798,SHE,Stock,CNY,2018-01-02,2018-06-06
000799,SHE,Stock,CNY,2018-01-02,2018-06-06
000800,SHE,Stock,CNY,2018-01-02,2018-06-06
000801,SHE,Stock,CNY,2018-01-02,2018-06-06
000802,SHE,Stock,CNY,2018-01-02,2018-06-06
000803,SHE,Stock,CNY,2007-08-30,2018-06-06
000806,SHE,Stock,CNY,2007-08-30,2018-06-06
000807,SHE,Stock,CNY,2018-01-02,2018-06-06
000809,SHE,Stock,CNY,2000-01-03,2018-06-06
000810,SHE,Stock,CNY,2018-01-02,2018-06-06
000811,SHE,Stock,CNY,2018-01-02,2018-06-06
000812,SHE,Stock,CNY,2007-08-30,2018-06-06
000813,SHE,Stock,CNY,2018-01-02,2018-06-06
000815,SHE,Stock,CNY,2000-01-03,2018-06-06
000816,SHE,Stock,CNY,2000-01-03,2018-06-06
000818,SHE,Stock,CNY,2018-01-02,2018-06-06
000819,SHE,Stock,CNY,2018-01-02,2018-06-06
000820,SHE,Stock,CNY,2007-08-30,2018-06-06
000821,SHE,Stock,CNY,2000-01-03,2018-06-06
000822,SHE,Stock,CNY,2018-01-02,2018-06-06
000823,SHE,Stock,CNY,2000-01-03,2018-06-06
000825,SHE,Stock,CNY,2018-01-02,2018-04-13
000826,SHE,Stock,CNY,2018-01-02,2018-06-06
000828,SHE,Stock,CNY,2018-01-02,2018-06-06
000829,SHE,Stock,CNY,2018-01-02,2018-06-06
000830,SHE,Stock,CNY,2000-01-03,2018-06-06
000831,SHE,Stock,CNY,2018-01-02,2018-06-06
000833,SHE,Stock,CNY,2018-01-02,2018-06-06
000835,SHE,Stock,CNY,2000-01-03,2018-06-06
000836,SHE,Stock,CNY,2018-01-02,2018-06-06
000837,SHE,Stock,CNY,2018-01-02,2018-06-06
000838,SHE,Stock,CNY,2018-01-02,2018-06-06
000839,SHE,Stock,CNY,2000-01-03,2018-06-06
000848,SHE,Stock,CNY,2018-01-02,2018-06-06
000850,SHE,Stock,CNY,2018-01-02,2018-06-06
000851,SHE,Stock,CNY,2018-01-02,2018-06-06
000852,SHE,Stock,CNY,2000-01-03,2018-06-06
000856,SHE,Stock,CNY,2000-01-03,2018-06-06
000858,SHE,Stock,CNY,2018-01-02,2018-06-06
000859,SHE,Stock,CNY,2018-01-02,2018-06-06
000860,SHE,Stock,CNY,2000-01-03,2018-06-06
000861,SHE,Stock,CNY,2018-01-02,2018-06-06
000862,SHE,Stock,CNY,2018-01-02,2018-06-06
000863,SHE,Stock,CNY,2018-01-02,2018-06-06
000868,SHE,Stock,CNY,2018-01-02,2018-06-06
000869,SHE,Stock,CNY,2018-01-02,2018-06-06
000875,SHE,Stock,CNY,2007-08-30,2018-06-06
000876,SHE,Stock,CNY,2018-01-02,2018-06-06
000877,SHE,Stock,CNY,2018-01-02,2018-06-06
000878,SHE,Stock,CNY,2018-01-02,2018-06-06
000880,SHE,Stock,CNY,2018-01-02,2018-06-06
000881,SHE,Stock,CNY,2000-01-03,2018-06-06
000882,SHE,Stock,CNY,2018-01-02,2018-06-06
000883,SHE,Stock,CNY,2018-01-02,2018-06-06
000885,SHE,Stock,CNY,2018-01-02,2018-06-06
000886,SHE,Stock,CNY,2018-01-02,2018-06-06
000887,SHE,Stock,CNY,2018-01-02,2018-06-06
000888,SHE,Stock,CNY,2018-01-02,2018-06-06
000889,SHE,Stock,CNY,2015-01-05,2018-06-06
000890,SHE,Stock,CNY,2018-01-02,2018-06-06
000892,SHE,Stock,CNY,2008-04-24,2018-06-06
000893,SHE,Stock,CNY,2018-01-02,2018-06-06
000895,SHE,Stock,CNY,2018-01-02,2018-06-06
000897,SHE,Stock,CNY,2018-01-02,2018-06-06
000898,SHE,Stock,CNY,2018-01-02,2018-06-06
000899,SHE,Stock,CNY,2018-01-02,2018-06-06
000900,SHE,Stock,CNY,2017-10-26,2018-06-06
000901,SHE,Stock,CNY,2018-01-02,2018-06-06
000902,SHE,Stock,CNY,2018-01-02,2018-06-06
000903,SHE,Stock,CNY,2018-01-02,2018-06-06
000905,SHE,Stock,CNY,2000-01-03,2018-06-06
000906,SHE,Stock,CNY,2000-01-03,2018-06-06
000908,SHE,Stock,CNY,2000-01-03,2018-06-06
000909,SHE,Stock,CNY,2018-01-02,2018-06-06
000910,SHE,Stock,CNY,2018-01-02,2018-06-06
000911,SHE,Stock,CNY,2000-01-03,2018-06-06
000912,SHE,Stock,CNY,2007-08-30,2018-01-12
000913,SHE,Stock,CNY,2018-01-02,2018-06-06
000915,SHE,Stock,CNY,2000-01-03,2018-06-06
000916,SHE,Stock,CNY,2007-08-30,2017-12-04
000917,SHE,Stock,CNY,2000-01-04,2018-06-06
000918,SHE,Stock,CNY,2018-01-02,2018-06-06
000919,SHE,Stock,CNY,2018-01-02,2018-06-06
000920,SHE,Stock,CNY,2018-01-02,2018-06-06
000921,SHE,Stock,CNY,2018-01-02,2018-06-06
000922,SHE,Stock,CNY,2018-01-02,2018-06-06
000923,SHE,Stock,CNY,2018-01-02,2018-06-06
000925,SHE,Stock,CNY,2018-01-02,2018-06-06
000926,SHE,Stock,CNY,2000-01-03,2018-06-06
000927,SHE,Stock,CNY,2018-01-02,2018-06-06
000928,SHE,Stock,CNY,2018-01-02,2018-06-06
000929,SHE,Stock,CNY,2018-01-02,2018-06-06
000930,SHE,Stock,CNY,2007-08-30,2018-06-06
000931,SHE,Stock,CNY,2000-01-03,2018-06-06
000932,SHE,Stock,CNY,2018-01-02,2018-06-06
000933,SHE,Stock,CNY,2018-01-02,2018-06-06
000935,SHE,Stock,CNY,2018-01-02,2018-06-06
000936,SHE,Stock,CNY,2018-01-02,2018-06-06
000937,SHE,Stock,CNY,2000-01-03,2018-06-06
000938,SHE,Stock,CNY,2000-01-03,2018-06-06
000939,SHE,Stock,CNY,2007-08-30,2018-04-24
000948,SHE,Stock,CNY,2000-01-03,2018-06-06
000949,SHE,Stock,CNY,2018-01-02,2018-06-06
000950,SHE,Stock,CNY,2017-04-25,2018-04-24
000951,SHE,Stock,CNY,2018-01-02,2018-06-06
000952,SHE,Stock,CNY,2018-01-02,2018-06-06
000953,SHE,Stock,CNY,2018-01-02,2018-06-06
000955,SHE,Stock,CNY,2000-01-03,2018-06-06
000957,SHE,Stock,CNY,2018-01-02,2018-06-06
000958,SHE,Stock,CNY,2000-01-03,2018-06-06
000959,SHE,Stock,CNY,2000-01-03,2018-06-06
000960,SHE,Stock,CNY,2018-01-02,2018-06-06
000961,SHE,Stock,CNY,2000-02-29,2018-06-06
000962,SHE,Stock,CNY,2018-01-02,2018-06-06
000963,SHE,Stock,CNY,2000-01-26,2018-06-06
000965,SHE,Stock,CNY,2018-01-02,2018-06-06
000966,SHE,Stock,CNY,2000-03-15,2018-06-06
000967,SHE,Stock,CNY,2000-03-29,2018-05-17
000968,SHE,Stock,CNY,2018-01-02,2018-06-06
000969,SHE,Stock,CNY,2018-01-02,2018-06-06
000970,SHE,Stock,CNY,2000-04-19,2018-06-06
000971,SHE,Stock,CNY,2018-01-02,2018-06-06
000972,SHE,Stock,CNY,2018-01-02,2018-05-03
000973,SHE,Stock,CNY,2000-05-24,2018-06-06
000975,SHE,Stock,CNY,2018-01-02,2018-06-06
000976,SHE,Stock,CNY,2000-06-07,2018-06-06
000977,SHE,Stock,CNY,2018-01-02,2018-06-06
000978,SHE,Stock,CNY,2018-01-02,2018-06-06
000979,SHE,Stock,CNY,2008-01-17,2018-06-06
000980,SHE,Stock,CNY,2000-06-15,2018-06-06
000981,SHE,Stock,CNY,2018-01-02,2018-06-06
000982,SHE,Stock,CNY,2018-01-02,2018-06-06
000983,SHE,Stock,CNY,2000-07-25,2018-06-06
000985,SHE,Stock,CNY,2018-01-02,2018-06-06
000987,SHE,Stock,CNY,2000-07-17,2018-06-06
000988,SHE,Stock,CNY,2018-01-02,2018-06-06
000989,SHE,Stock,CNY,2018-01-02,2018-06-06
000990,SHE,Stock,CNY,2000-07-05,2018-06-06
000993,SHE,Stock,CNY,2018-01-02,2018-06-06
000995,SHE,Stock,CNY,2007-08-30,2018-06-06
000996,SHE,Stock,CNY,2000-07-17,2018-06-06
000997,SHE,Stock,CNY,2000-08-07,2018-06-06
000998,SHE,Stock,CNY,2018-01-02,2018-06-06
000999,SHE,Stock,CNY,2000-03-13,2018-06-06
001696,SHE,Stock,CNY,2018-01-02,2018-06-06
001896,SHE,Stock,CNY,2007-08-30,2018-06-06
001965,SHE,Stock,CNY,2018-01-02,2018-06-06
001979,SHE,Stock,CNY,2018-01-02,2018-06-06
002001,SHE,Stock,CNY,2018-01-02,2018-06-06
